"","X","id","hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"1",23293,23717,"Resort Hotel",0,197,2016,"April",18,30,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-05-02"
"2",108539,110492,"City Hotel",0,102,2017,"April",17,24,1,3,1,0,0,"BB","IRL","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","NULL","424",0,"Transient-Party",90,0,0,"Check-Out","2017-04-28"
"3",86665,88156,"City Hotel",0,127,2016,"April",18,28,1,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","3","NULL",0,"Transient-Party",90,0,0,"Check-Out","2016-05-02"
"4",65642,66645,"City Hotel",1,58,2017,"April",16,22,2,2,2,2,0,"BB","ITA","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",230,0,0,"Canceled","2017-03-17"
"5",34817,35522,"Resort Hotel",0,60,2017,"April",16,17,3,5,2,0,0,"BB","PRT","Groups","Corporate",0,0,0,"A","A",0,"No Deposit","NULL","307",0,"Transient-Party",90,0,1,"Check-Out","2017-04-25"
"6",48984,49934,"City Hotel",1,288,2016,"April",17,21,0,1,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","1","NULL",0,"Transient",59,0,0,"Canceled","2015-10-21"
"7",108513,110466,"City Hotel",0,102,2017,"April",17,24,1,3,1,0,0,"BB","IRL","Groups","TA/TO",0,0,0,"A","D",1,"No Deposit","NULL","424",0,"Transient-Party",90,0,0,"Check-Out","2017-04-28"
"8",85599,87071,"City Hotel",0,14,2016,"April",16,13,0,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-14"
"9",65600,66603,"City Hotel",1,393,2017,"April",16,22,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"10",65681,66684,"City Hotel",1,135,2017,"April",17,23,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","171","NULL",0,"Transient",90,0,0,"Canceled","2016-12-09"
"11",64475,65472,"City Hotel",1,372,2017,"April",14,4,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"12",48548,49498,"City Hotel",1,101,2016,"April",16,14,0,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",130,0,0,"Canceled","2016-04-12"
"13",34800,35505,"Resort Hotel",0,64,2017,"April",16,21,1,2,2,0,0,"BB","PRT","Groups","Corporate",0,0,0,"A","A",7,"No Deposit","NULL","307",0,"Transient-Party",90,0,1,"Check-Out","2017-04-24"
"14",48577,49527,"City Hotel",1,101,2016,"April",16,14,0,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",130,0,0,"Canceled","2016-04-12"
"15",66175,67178,"City Hotel",1,313,2017,"April",17,29,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-02-23"
"16",108888,110842,"City Hotel",0,140,2017,"April",17,28,2,2,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","119","NULL",0,"Transient-Party",130,0,1,"Check-Out","2017-05-02"
"17",64473,65470,"City Hotel",1,372,2017,"April",14,4,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"18",65852,66855,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"19",64561,65559,"City Hotel",1,373,2017,"April",14,5,0,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"20",108877,110831,"City Hotel",0,140,2017,"April",17,28,2,2,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","119","NULL",0,"Transient-Party",130,0,1,"Check-Out","2017-05-02"
"21",22876,23289,"Resort Hotel",0,35,2016,"April",17,20,0,1,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit","251","NULL",0,"Transient",59,0,0,"Check-Out","2016-04-21"
"22",85613,87085,"City Hotel",0,138,2016,"April",16,13,0,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-14"
"23",22832,23245,"Resort Hotel",0,7,2016,"April",17,18,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-20"
"24",64422,65419,"City Hotel",1,56,2017,"April",14,3,1,1,2,2,0,"BB","IND","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",230,0,0,"Canceled","2017-02-26"
"25",85263,86728,"City Hotel",0,124,2016,"April",15,4,1,3,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-08"
"26",34773,35478,"Resort Hotel",0,63,2017,"April",16,20,1,3,1,0,0,"BB","ITA","Corporate","Corporate",0,0,0,"A","A",3,"No Deposit","NULL","307",0,"Transient-Party",90,0,0,"Check-Out","2017-04-24"
"27",85282,86747,"City Hotel",0,124,2016,"April",15,4,1,3,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-08"
"28",65364,66367,"City Hotel",1,386,2017,"April",16,18,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"29",85224,86686,"City Hotel",0,28,2016,"April",15,6,0,1,1,0,0,"BB","USA","Corporate","Corporate",0,0,0,"D","F",1,"No Deposit","NULL","197",0,"Transient",90,0,1,"Check-Out","2016-04-07"
"30",34843,35548,"Resort Hotel",0,203,2017,"April",17,25,0,2,2,0,0,"HB","AUT","Groups","TA/TO",0,0,0,"A","D",2,"No Deposit","502","NULL",0,"Transient-Party",90,0,0,"Check-Out","2017-04-27"
"31",66190,67193,"City Hotel",1,313,2017,"April",17,29,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-02-23"
"32",65684,66687,"City Hotel",1,135,2017,"April",17,23,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","171","NULL",0,"Transient",90,0,0,"Canceled","2016-12-09"
"33",4837,4968,"Resort Hotel",1,52,2016,"April",16,11,1,0,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",90,0,1,"Canceled","2016-03-15"
"34",66217,67220,"City Hotel",1,78,2017,"April",17,29,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-02-10"
"35",22615,23022,"Resort Hotel",0,99,2016,"April",16,13,0,1,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"D","F",0,"No Deposit","251","NULL",0,"Transient",59,0,0,"Check-Out","2016-04-14"
"36",65060,66063,"City Hotel",1,155,2017,"April",15,13,1,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","58","NULL",0,"Transient",130,0,0,"Canceled","2017-04-05"
"37",108547,110500,"City Hotel",0,102,2017,"April",17,24,1,3,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","NULL","424",0,"Transient-Party",90,0,0,"Check-Out","2017-04-28"
"38",85403,86872,"City Hotel",0,11,2016,"April",16,10,1,0,1,0,0,"BB","USA","Corporate","Corporate",0,0,0,"D","E",0,"No Deposit","NULL","197",0,"Transient",90,0,1,"Check-Out","2016-04-11"
"39",65539,66542,"City Hotel",1,135,2017,"April",16,21,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","3","NULL",0,"Transient",90,0,0,"Canceled","2016-12-07"
"40",49253,50204,"City Hotel",1,7,2016,"April",18,26,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","85","NULL",0,"Transient",90,0,0,"Canceled","2016-04-20"
"41",85412,86882,"City Hotel",0,134,2016,"April",15,9,1,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-11"
"42",23278,23702,"Resort Hotel",0,197,2016,"April",18,30,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-05-02"
"43",10812,10987,"Resort Hotel",1,162,2017,"April",15,13,2,7,2,0,0,"BB","NOR","Online TA","TA/TO",0,0,0,"E","E",5,"No Deposit","240","NULL",0,"Transient-Party",90,0,0,"Canceled","2016-11-03"
"44",65800,66803,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"45",107131,109073,"City Hotel",0,74,2017,"April",14,3,1,2,2,1,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit","28","NULL",0,"Transient",90,0,0,"Check-Out","2017-04-06"
"46",65545,66548,"City Hotel",1,135,2017,"April",16,21,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","3","NULL",0,"Transient",90,0,0,"Canceled","2016-12-07"
"47",65103,66106,"City Hotel",1,298,2017,"April",15,14,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient-Party",90,0,0,"Canceled","2017-04-03"
"48",22850,23263,"Resort Hotel",0,32,2016,"April",17,19,0,1,2,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","G",0,"No Deposit","NULL","397",0,"Transient-Party",59,0,1,"Check-Out","2016-04-20"
"49",108871,110825,"City Hotel",0,140,2017,"April",17,28,2,2,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","119","NULL",0,"Transient-Party",130,0,1,"Check-Out","2017-05-02"
"50",64786,65785,"City Hotel",1,59,2017,"April",14,8,2,1,2,1,0,"BB","GBR","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",128,0,3,"Canceled","2017-02-11"
"51",10757,10932,"Resort Hotel",1,51,2017,"April",15,11,0,4,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",90,0,2,"Canceled","2017-03-05"
"52",107292,109235,"City Hotel",0,143,2017,"April",14,6,0,3,3,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient-Party",166.5,0,1,"Check-Out","2017-04-09"
"53",65757,66760,"City Hotel",1,396,2017,"April",17,25,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"54",108516,110469,"City Hotel",0,102,2017,"April",17,24,1,3,1,0,0,"BB","IRL","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","NULL","424",0,"Transient-Party",90,0,0,"Check-Out","2017-04-28"
"55",64557,65555,"City Hotel",1,373,2017,"April",14,5,0,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"56",4922,5053,"Resort Hotel",0,183,2016,"April",16,16,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-18"
"57",34835,35540,"Resort Hotel",0,203,2017,"April",17,25,0,2,2,0,0,"HB","AUT","Groups","TA/TO",0,0,0,"A","D",0,"No Deposit","502","NULL",0,"Transient-Party",90,0,0,"Check-Out","2017-04-27"
"58",26017,26516,"Resort Hotel",0,60,2017,"April",16,17,3,5,2,0,0,"BB","ITA","Groups","Corporate",1,0,1,"A","A",0,"No Deposit","NULL","307",0,"Transient-Party",90,0,1,"Check-Out","2017-04-25"
"59",65549,66552,"City Hotel",1,135,2017,"April",16,21,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","3","NULL",0,"Transient",90,0,0,"Canceled","2016-12-07"
"60",22375,22774,"Resort Hotel",0,25,2016,"April",15,4,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"Non Refund","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-06"
"61",64467,65464,"City Hotel",1,372,2017,"April",14,4,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"62",66119,67122,"City Hotel",1,140,2017,"April",17,28,2,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","119","NULL",0,"Transient-Party",130,0,0,"Canceled","2017-03-20"
"63",65673,66676,"City Hotel",1,164,2017,"April",16,22,2,5,3,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",166.5,0,1,"Canceled","2016-11-11"
"64",85414,86884,"City Hotel",0,134,2016,"April",15,9,1,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-11"
"65",4972,5104,"Resort Hotel",0,185,2016,"April",17,18,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-20"
"66",65362,66365,"City Hotel",1,386,2017,"April",16,18,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"67",65066,66069,"City Hotel",1,155,2017,"April",15,13,1,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","58","NULL",0,"Transient",130,0,0,"Canceled","2017-04-05"
"68",85596,87068,"City Hotel",0,138,2016,"April",16,13,0,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","B",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-14"
"69",66172,67175,"City Hotel",1,313,2017,"April",17,29,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-02-23"
"70",108875,110829,"City Hotel",0,140,2017,"April",17,28,2,2,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","119","NULL",0,"Transient-Party",130,0,1,"Check-Out","2017-05-02"
"71",108285,110232,"City Hotel",0,165,2017,"April",16,22,1,1,3,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",166.5,0,2,"Check-Out","2017-04-24"
"72",64553,65551,"City Hotel",1,373,2017,"April",14,5,0,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"73",65109,66112,"City Hotel",1,298,2017,"April",15,14,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient-Party",90,0,0,"Canceled","2017-04-03"
"74",64470,65467,"City Hotel",1,372,2017,"April",14,4,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"75",66177,67180,"City Hotel",1,78,2017,"April",17,29,2,1,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-02-10"
"76",65130,66133,"City Hotel",1,298,2017,"April",15,14,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient-Party",90,0,0,"Canceled","2017-04-03"
"77",23274,23698,"Resort Hotel",0,197,2016,"April",18,30,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-05-02"
"78",34725,35430,"Resort Hotel",0,6,2017,"April",16,19,0,3,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",128,0,1,"Check-Out","2017-04-22"
"79",34842,35547,"Resort Hotel",0,203,2017,"April",17,25,0,2,2,0,0,"HB","AUT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","502","NULL",0,"Transient-Party",90,0,0,"Check-Out","2017-04-27"
"80",107831,109776,"City Hotel",0,298,2017,"April",15,14,1,2,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient-Party",90,0,1,"Check-Out","2017-04-17"
"81",34245,34939,"Resort Hotel",0,209,2017,"April",15,9,1,0,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240","NULL",0,"Transient",90,1,1,"Check-Out","2017-04-10"
